sample_id,country,last_updated_date,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_gb-defra-index
21800,Kazakhstan,2024/9/6,0.489987158,0.491881398,0.373056995,0.370967742,0.832869081,0.6875,0.692307692,0.055214724,0.649484536,0.747474747,0.501750638,0.500710549,1,1,0.237704918,0.490974729,0.490990991,0.197181881,0.185151652,0.052788718,0.170403587,0.161352357,0.107988588,2
16424,Syria,2024/8/9,0.749206349,0.752669039,0.70984456,0.709677419,0.559888579,0.40625,0.417582418,0.213791385,0.134020619,0.478247307,0.618932039,0.616734143,1,1,0.729508197,0.581227437,0.581081081,0.067081604,0.679492983,0.008893406,0.068095001,0.099255583,0.07874465,1
22096,Uzbekistan,2024/9/7,0.40952381,0.411032028,0.243523316,0.24516129,0.108635097,0.875,0.89010989,0.213791385,0.113402062,0.478247307,0.351941748,0.352226721,1,1,0.56557377,0.231046931,0.22972973,0.19878112,0.370755998,0.052788718,0.148895532,0.122332506,0.09743224,1
17064,Cambodia,2024/8/13,0.542857143,0.544483986,0.466321244,0.464516129,0.593314763,0.4375,0.450549451,0.049079755,0.639175258,0.515151515,0.597087379,0.5951417,1,1,0.073770492,0.530685921,0.529279279,0.292185339,0.084653689,0.087663575,0.041521342,0.060794045,0.065049929,1
4110,Bhutan,2024/6/5,0.489987158,0.491881398,0.295650476,0.294371929,0.632311978,0.65625,0.648351648,0.159509202,0.93814433,0.838383838,0.026699029,0.025641026,0.794932015,0.796708735,0.073770492,0.072202166,0.06981982,0.202714385,0.258488004,0.011434379,0.016608537,0.172456576,0.094151213,2
4171,Iraq,2024/6/5,0.946031746,0.951957295,0.502590674,0.5,0.777158774,0.3125,0.307692308,0.213791385,0.072164948,0.478247307,0.839805825,0.83805668,1,1,0.81147541,0.682310469,0.684684685,0.093015214,0.808963332,0.058442383,0.174389636,0.142679901,0.108987161,2
31795,South Korea,2024/10/27,0.098412698,0.096085409,0.196891192,0.196774194,0.824512535,0.65625,0.659340659,0.213791385,0.93814433,0.478247307,0.152912621,0.151147099,0.794932015,0.796708735,0.386966416,0.220216606,0.220720721,0.627377248,0.040289724,0.88953119,0.812572662,0.494168734,0.368730385,4
5962,Myanmar,2024/6/14,0.476190476,0.478647687,0.082901554,0.080645161,0.693593315,0.4375,0.43956044,0.213791385,0.93814433,1,0.553398058,0.551956815,0.794932015,0.796708735,0.073770492,0.357400722,0.358108108,0.243084371,0.114531462,0.05971287,0.024912805,0.086848635,0.061626248,1
6548,Nepal,2024/6/17,0.33015873,0.330960854,0.295650476,0.294371929,0.194986072,0.3125,0.318681319,0.213791385,0.567010309,0.141414141,0.368932039,0.367071525,1,1,0.073770492,0.039711191,0.038288288,0.286393499,0.452693526,0.027950705,0.038199635,0.5,0.289871612,4
17077,Cyprus,2024/8/13,0.720634921,0.725978648,0.295650476,0.294371929,0.980501393,0.40625,0.406593407,0.213791385,0.278350515,0.03030303,0.645631068,0.645074224,1,1,0.729508197,0.162454874,0.162162162,0.081517981,0.511090991,0.00381146,0.013286829,0.069478908,0.039372325,1
22969,Jordan,2024/9/12,0.666666667,0.670818505,0.502590674,0.5,0.832869081,0.71875,0.725274725,0.213791385,0.175257732,0.478247307,0.548543689,0.546558704,0.794932015,0.796708735,0.647540984,0.494584838,0.497747748,0.082036653,0.384336804,0.055139118,0.170403587,0.312841191,0.36978602,3
26534,Qatar,2024/9/30,0.755555556,0.759786477,0.419689119,0.419354839,0.275766017,0.46875,0.472527473,0.213791385,0.494845361,0.242424242,0.783980583,0.782726046,1,1,0.729508197,0.346570397,0.346846847,0.214773513,0.628791308,0.149155126,0.176548746,0.585980149,0.379671624,5
17604,Turkmenistan,2024/8/15,0.673015873,0.676156584,0.720207254,0.719354839,0.777158774,0.5625,0.571428571,0.213791385,0.391752577,0.747474747,0.597087379,0.596491228,1,1,0.647540984,0.55234657,0.554054054,0.095954357,0.394748755,0.00381146,0.001660854,0.160049628,0.32810271,2
5726,India,2024/6/13,0.917460317,0.923487544,0.305699482,0.303225806,0.805013928,0.15625,0.142857143,0.213791385,0.103092784,0.242424242,0.803398058,0.802968961,0.794932015,0.796708735,0.073770492,0.613718412,0.614864865,0.25466805,0.440018108,0.184220556,0.154459392,0.270471464,0.344079886,2
31124,Georgia,2024/10/24,0.095238095,0.09430605,0.233160622,0.232258065,0.91086351,0.501668876,0.503342242,0.213791385,0.494845361,0.242424242,0.150485437,0.149797571,1,1,0.245901639,0.198555957,0.198198198,0.171594053,0.176097782,0.182060729,0.096661684,0.106265509,0.076319544,1
31481,Cyprus,2024/10/26,0.380952381,0.382562278,0.233160622,0.232258065,0.058495822,0.84375,0.857142857,0.213791385,0.340206186,0.478247307,0.359223301,0.357624831,1,1,0.483606557,0.198555957,0.198198198,0.117219917,0.280217293,0.06924152,0.112024581,0.177419355,0.115378031,2
4178,Kazakhstan,2024/6/5,0.374603175,0.37544484,0.243523316,0.24516129,0.610027855,0.625,0.626373626,0.213791385,0.422680412,0.478247307,0.371359223,0.36977058,1,1,0.56557377,0.407942238,0.407657658,0.077195712,0.339520145,0.074958709,0.197641588,0.012406948,0.007988588,1
11160,Lebanon,2024/7/11,0.603174603,0.606761566,0.243523316,0.24516129,0.721448468,0.5625,0.571428571,0.213791385,0.391752577,0.242424242,0.618932039,0.616734143,1,1,0.56557377,0.332129964,0.333333333,0.072873444,0.372114079,0.001270487,0.011625976,0.260545906,0.19914408,2
20782,Cyprus,2024/9/1,0.628571429,0.631672598,0.533678756,0.535483871,0.442896936,0.46875,0.472527473,0.213791385,0.453608247,0.494949495,0.63592233,0.63562753,1,1,0.647540984,0.642599278,0.644144144,0.130532503,0.459483929,0.00381146,0.016608537,0.052109181,0.05192582,1
6892,Japan,2024/6/19,0.342857143,0.34341637,0.373056995,0.370967742,0.498607242,0.5625,0.571428571,0.213791385,0.680412371,0.478247307,0.378640777,0.376518219,1,1,0.073770492,0.563176895,0.565315315,0.173841632,0.582616569,0.565366535,0.561368543,0.454094293,0.228815977,4
5432,Thailand,2024/6/11,0.511111111,0.512455516,0.176165803,0.174193548,0.498607242,0.5,0.505494505,0.213791385,0.742268041,0.242424242,0.546116505,0.546558704,1,1,0.073770492,0.339350181,0.337837838,0.776884509,0.354519956,0.303646297,0.362066102,0.213399504,0.259058488,2
15240,Singapore,2024/8/3,0.498412698,0.501779359,0.523316062,0.522580645,0.384401114,0.5625,0.549450549,0.213791385,0.742268041,0.343434343,0.575242718,0.573549258,1,1,0.073770492,0.555956679,0.558558559,0.55186722,0.000452694,0.451022742,0.330509882,0.054590571,0.036519258,1
5811,South Korea,2024/6/13,0.250793651,0.25088968,0.015544041,0.012903226,0.91643454,0.375,0.373626374,0.213791385,0.824742268,0.478247307,0.269417476,0.268556005,1,1,0.073770492,0.16967509,0.171171171,0.892289073,0.354519956,0.310599391,0.461717323,0.32133995,0.179172611,3
8082,Oman,2024/6/25,0.73968254,0.743772242,0.279792746,0.277419355,0.256267409,0.0625,0.065934066,0.213791385,0.494845361,0.478247307,0.854368932,0.852901484,1,1,0.729508197,0.342960289,0.342342342,0.071403873,0.517428701,0.008893406,0.046503903,0.492555831,0.686447932,4
19271,Lao People's Democratic Republic,2024/8/24,0.247619048,0.247330961,0.139896373,0.138709677,0.56545961,0.6875,0.703296703,0.024539877,0.87628866,0.717171717,0.266990291,0.26585695,1,1,0.073770492,0.245487365,0.245495495,0.488329876,0.043458579,0.124507686,0.026573659,0.14764268,0.131811698,2
27965,Bahrain,2024/10/8,0.561904762,0.56227758,0.243523316,0.24516129,0.105849582,0.65625,0.648351648,0.213791385,0.639175258,0.01010101,0.626213592,0.624831309,1,1,0.647540984,0.259927798,0.259009009,0.286739281,0.511090991,0.607483166,0.319774943,0.572208437,0.641084165,5
13117,Vietnam,2024/7/23,0.365079365,0.364768683,0.046632124,0.04516129,0.64902507,0.21875,0.208791209,0.196319018,0.979381443,0.98989899,0.436893204,0.434547908,1,1,0.073770492,0.072202166,0.06981982,0.13917704,0.071525577,0.030491678,0.006643415,0.004962779,0.004564907,1
8492,Singapore,2024/6/27,0.479365079,0.480427046,0.082901554,0.080645161,0.164345404,0.53125,0.538461538,0.128834356,0.835051546,0.747474747,0.541262136,0.539811066,1,1,0.073770492,0.415162455,0.416666667,0.583709765,0.354519956,0.633972812,0.584620495,0.284119107,0.149500713,2
3787,Jordan,2024/6/3,0.819047619,0.823843416,0.243523316,0.24516129,0.192200557,0.625,0.626373626,0.213791385,0.072164948,0.478247307,0.691747573,0.689608637,0.794932015,0.796708735,0.729508197,0.270758123,0.27027027,0.058437068,0.685830693,0.102909414,0.182693905,0.224565757,0.376034237,2
20089,Oman,2024/8/28,0.631746032,0.635231317,0.139896373,0.138709677,0.186629526,0.1875,0.186813187,0.213791385,0.567010309,0.478247307,0.711165049,0.71120108,1,1,0.647540984,0.151624549,0.148648649,0.124827109,0.524219104,0.006352433,0.019930244,0.44044665,0.60256776,4
